Unnamed: 0,0.0,0.0166666666666666,0.0.1,0.0.2,2.8833333333333333,8.0,2,26.96666666666667,5:0,13:0,0.0.3,0.0.4,0.0.5,0.0.6,2.1,Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
,,,,,,,,,,,,,,,,2023年03月31日 02:29:50,0.0,9.0,0.0,0.0,12.516666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:51,0.0,0.0,0.0,0.0,21.516666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:51,0.0,3.0,0.0,0.0,18.516666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:51,0.0,4.0,0.0,0.0,17.516666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:51,0.0,5.0,0.0,0.0,16.516666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:52,0.0,5.0,0.0,0.0,17.516666666666666,-1.0,1.0,22.96666666666667,1:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:52,0.0,5.0,0.0,0.0,-4.483333333333333,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:52,3.0,5.0,0.0,0.0,-7.483333333333333,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:53,2.0,5.0,0.0,0.0,-6.483333333333333,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:53,5.0,5.0,0.0,0.0,-9.483333333333334,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:53,6.0,5.0,0.0,0.0,-10.483333333333334,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:55,7.0,5.0,0.0,0.0,-11.483333333333334,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:30:01,6.0,5.0,0.0,0.0,-10.5,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.5
,,,,,,,,,,,,,,,,2023年03月31日 02:30:01,5.0,5.0,0.0,0.0,-9.5,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.5
,,,,,,,,,,,,,,,,2023年03月31日 02:30:02,4.0,5.0,0.0,0.0,-8.5,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.5
,,,,,,,,,,,,,,,,2023年03月31日 02:30:02,3.0,5.0,0.0,0.0,-7.5,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.5
,,,,,,,,,,,,,,,,2023年03月31日 02:31:29,3.0,5.0,0.0,0.0,-7.516666666666667,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.5166666666666666
,,,,,,,,,,,,,,,,2023年03月31日 02:31:35,3.0,5.0,0.0,0.0,-7.516666666666667,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.5166666666666666
,,,,,,,,,,,,,,,,2023年03月31日 02:31:37,3.0,5.0,0.0,0.0,-7.516666666666667,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.5166666666666666
,,,,,,,,,,,,,,,,2023年03月31日 02:32:10,3.0,5.0,0.0,0.0,-7.533333333333333,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.533333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:32:55,3.0,5.0,0.0,0.0,-7.533333333333333,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.533333333333333
